,Country,City,Latitude,Longitude,Current Temp(c),Max Temp(c),Humidity (%),Cloudiness,Windspeed (km/h)
82,FR,Montataire,49.2561,2.4389,12.58,14.03,75,99,9.072000000000001
83,GA,Ntoum,0.3833,9.7833,23.75,23.75,95,100,2.2680000000000002
84,RU,Nizhniy Chir,48.3597,43.0865,11.6,11.6,81,100,14.076
85,PH,Guisijan,11.0932,122.0461,27.78,27.78,74,97,5.508
86,US,Okemos,42.7223,-84.4275,20.07,21.99,84,100,9.251999999999999
87,UA,Snihurivka,47.0758,32.8052,10.98,10.98,78,69,3.168
88,HU,Úrkút,47.085,17.6439,10.18,10.18,75,67,11.844000000000001
89,BR,Moju,-1.8839,-48.7689,22.88,22.88,98,100,2.052
90,CZ,Český Brod,50.0742,14.8608,8.11,8.77,93,95,9.432
91,US,Glenvar Heights,25.7076,-80.3256,25.72,27.0,74,40,29.628000000000004
92,BR,Botelhos,-21.6333,-46.395,17.53,17.53,84,18,4.968
93,PH,Calatagan,13.8833,120.65,27.62,27.62,76,71,20.196
94,BA,Varoška Rijeka,45.0847,16.0142,10.24,10.24,78,88,12.348
95,US,Cody,44.5263,-109.0565,7.95,9.4,42,100,11.124
96,US,Choctaw,35.4976,-97.2689,14.78,19.28,70,75,14.832
97,PH,Basak,6.7274,124.1512,24.62,24.62,84,71,4.788
98,EE,Tallinn,59.437,24.7535,4.19,5.29,83,75,18.503999999999998
99,US,Laguna Hills,33.5956,-117.7003,29.24,32.56,18,0,18.503999999999998
100,US,Williamsburg,37.2707,-76.7075,26.5,30.0,56,0,11.124
101,PH,Namboongan,16.3033,120.3758,27.53,27.53,74,6,15.408000000000001
102,IN,Ballarpur,19.8333,79.35,31.35,31.35,31,2,5.9399999999999995
103,RO,Şomcuta Mare,47.5167,23.4667,12.94,12.94,82,75,9.251999999999999
104,MX,Cosautlán,19.3333,-96.9833,24.37,24.37,64,51,9.251999999999999
105,US,Yucaipa,34.0336,-117.0431,23.75,26.76,19,0,3.204
106,IN,Ālangudi,10.3606,78.9849,28.07,28.07,76,48,6.84
107,US,Marshall,34.3834,-86.3333,26.61,27.95,45,0,16.668
108,PK,Sehwan,26.4279,67.863,31.52,31.52,27,26,15.696000000000002
109,BR,Piritiba,-11.7303,-40.5553,22.11,22.11,71,44,13.176
110,MX,Ostuacán,17.4167,-93.3,30.62,30.62,49,0,9.288
111,MX,Tixpehual,20.9833,-89.5167,22.01,22.01,100,75,18.503999999999998
112,US,Liberty,31.8335,-81.5004,24.04,26.14,56,0,16.668
113,RO,Fântânele,46.1167,21.4,12.88,13.84,80,0,16.668
114,UA,Semenivka,52.1783,32.5818,7.47,7.47,83,4,13.14
115,BR,São Raimundo das Mangabeiras,-7.0219,-45.4811,24.05,24.05,84,75,3.7800000000000002
116,JP,Isawa,35.65,138.6333,17.99,18.21,83,74,2.3400000000000003
117,IN,Chāmpa,22.05,82.65,26.8,26.8,18,10,8.424
118,IT,Massafra,40.5888,17.117,14.78,15.6,68,0,7.488
119,US,Santa Barbara,34.7333,-120.0343,23.64,24.39,35,0,25.92
120,BG,Simeonovgrad,42.0333,25.8333,11.96,11.96,80,98,8.964
121,RO,Daneş,46.2167,24.7,12.4,12.4,92,98,10.008
122,PH,Liciada,14.8981,120.9328,28.35,28.35,69,64,6.372
123,RS,Futog,45.2419,19.707,11.81,11.81,78,32,5.5440000000000005
124,US,Buena Park,33.8675,-117.9981,29.94,33.12,16,0,20.376
125,BE,Hemiksem,51.1455,4.3425,10.01,11.06,76,0,12.96
126,CN,Zhoucheng,35.9122,116.3117,19.71,19.71,77,100,9.107999999999999
127,RO,Feleacu,46.7167,23.6167,9.61,9.72,85,100,14.472
128,RO,Terpeziţa,44.2833,23.5167,14.02,14.14,86,98,13.32
129,IN,Tilhar,27.9833,79.7333,27.09,27.09,19,0,11.34
130,LU,Gonderange,49.6889,6.2483,7.76,9.06,92,0,5.5440000000000005
131,PH,Ballesteros,18.4126,121.5152,26.08,26.08,83,9,16.38
132,BR,Itapecerica da Serra,-23.7169,-46.8492,19.68,20.5,98,28,10.548
133,UA,Velyka Lepetykha,47.1757,33.9436,11.15,11.15,83,52,9.864
134,UY,Montevideo,-34.8335,-56.1674,19.84,19.84,37,0,12.96
135,US,Crestwood,38.557,-90.3818,18.77,20.84,75,100,15.624
136,ZW,Harare,-17.8294,31.0539,17.12,17.12,76,91,6.012
137,IN,Barsāna,27.65,77.3833,28.21,28.21,17,0,8.604000000000001
